Questions,ANSWERS
380. What did the crew of the ship Jonah was on do once the storm had ceased?,380. They made sacrifices to God (Jon 1:16)
381. How many people were saved in the ark?,381. Eight (1 Pe 3:20)
382. What disease did the Lord send upon Miriam?,382. Leprosy (Num 12:10)
383. The name of the Lord is like what place of safety?,383. A strong tower (Pro 18:10)
384. With what was Jesus' side pierced?,384. Spear (John 19:34)
386. What did Jesus say when the Pharisees asked why he ate with publicans and sinners?,386. They that be whole need not a physician but they that are sick. (Matt 9:12) 
387. How did Moses command the Red Sea to divide so the Israelites could cross over?,387. He lifted up his rod and stretched his hand over the sea (Exo 14:21)
388. Where was Jonah when he prayed to God with the voice of thanksgiving?,388. In the fish's belly (Jon 2:9)
389. What was Noah's ark made out of?,389. Gopher (cypress) wood (Gen 6:14)
390. Who brought Elijah bread and meat to eat during the drought?,390. Ravens (1 Ki 17:4)
391. Whose mother-in-law did Jesus heal?,391. (Simon) Peter's (Matt 8:14)
392. Which bird does Jesus say we have more value than?,392. Sparrow (Matt 10:31)
393. In which city was David's throne over Israel?,393. Jerusalem (2 Sam 5:5)
394. How old was Moses when he died?,394. 120 (Deut 34:7)
395. What event did Peter James and John witness in a mountain with Jesus?,395. Trans guration (Matt 17:1)
396. Which apostle was a Pharisee?,396. Paul (Acts 23:6)
397. The desolation of which city is described in Revelation chapter 18?,397. Babylon (Rev 18:2)
398. Which king built the first temple in Jerusalem?,398. Solomon (2 Chr 3:1)
"399. Why did Jesus say we should not ""judge people""?",399. So that we are not judged (Matt 7:1)
400. What happened to the prison keeper and his family after finding Paul and Silas released from their chains?,400. They believed and were baptized (Acts 16:33)
"401. How is man ""tempted""?",401. He is enticed by his own lust (Jam 1:14)
402. What natural disaster happened when Abram and Sarai arrived in the land of Canaan?,402. A famine (Gen 12:10)
404. What did the shepherds do after they had visited Jesus?,404. Spread the news about Jesus' birth (Luke 2:17)
405. Who went back to Jerusalem after the captivity to encourage the people to build the walls of the city again?,405. Nehemiah (Neh 2:17)
406. Who was the first of the apostles to perform a miracle in the name of Jesus?,406. Peter (Acts 3:6)
407. How did Korah and his family die after seeking priesthood duties beyond those they already had?,407. They were swallowed up by the earth (Num 16:32)
408. What was the name of Isaac's wife?,408. Rebekah (Gen 24:67)
409. How does the Bible describe the location of the Garden of Eden?,409. In the east (Gen 2:8)
410. In the vision of Jesus in Revelation what came out of Jesus' mouth?,410. A sharp sword (Rev 19:15)
411. What was Paul's home town?,411. Tarsus (Acts 21:39)
412. Where was Delilah from?,412. Valley of Sorek (Jdg 16:4)
413. What happened to forty-two of the children who made fun of Elisha's baldness?,413. Two bears came out of the woods and killed them (2 Ki 2:24)
414. What came out of the fire Paul made on Malta and attacked him?,414. Viper (Acts 28:3)
415. Who refused to worship Nebuchadnezzar's golden image?,415. Shadrach Meshach and Abednego (Dan 3:12)
416. In the Sermon on the Mount what did Jesus say would happen to the meek?,416. They will inherit the earth (Matt 5:5)
418. Out of the ten lepers Jesus healed what nationality was the one who returned to thank him?,418. Samaritan (Luke 17:16)
419. Who did the men of Athens ignorantly worship?,419. The Unknown God (Acts 17:23)
420. What did Saul see on the road approaching Damascus?,420. A shining light from heaven (Acts 9:3)
421. How long did Jonah say it would be before Nineveh was to be overthrown?,421. Forty days (Jon 3:4)
422. What was the name of Samson's father?,422. Manoah (Jdg 13:24)
423. Who did Amnon love and then hate even more than he had loved her?,423. Tamar (2 Sam 13:15)
424. Where were the Jews taken captive to when Jerusalem was destroyed?,424. Babylon (Jer 29:4)
425. When was the festival of Passover established?,425. When the plague of the death of the firstborn was brought upon the land of Egypt (Exo 12:27)
"426. What sin did Noah commit after he began to be a ""man of the soil""?",426. Drunkenness (Gen 9:21)
427. Why were the Israelites afraid to enter the Promised Land?,427. The inhabitants were great and tall (Num 13:33)
428. What did the silversmith do with Micah's silver?,428. Made it into an idol (Jdg 17:4)
429. What was Paul's profession?,429. Tentmaker (Acts 18:3)
430. What was the name of Ahasuerus' new queen?,430. Esther (Est 2:17)
"431. According to the words of Jesus ""a city that is on a hill cannot be..."" what?",431. Hidden (Matt 5:14)
432. What was the fate of Shechem the prince who fell in love with Dinah daughter of Jacob?,432. He his father and the men of his city were slain by Dinah's brothers (Gen 34)
434. During Jacob's struggle with the angel the hollow of which part of Jacob's body was touched and put out of joint?,434. Hollow of thigh / Hip (Gen 32:25)
435. Which Christian doctrine did the Sadducees reject?,435. Resurrection (Matt 22:23)
436. For how many years had the woman with the issue of blood suffered before she was healed by Jesus?,436. Twelve years (Matt 9:20)
437. What was the affliction of Bartimaeus?,437. Blind (Mrk 10:46)
438. What was the color of the robe placed on Jesus by the soldiers?,438. Scarlet / Purple (Matt 27:28)
439. How did Paul say we should let our requests be made known to God?,439. By prayer and supplication with thanksgiving (Php 4:6)
440. In the Sermon on the Mount what does Jesus tell us the earth is?,440. God's footstool (Matt 5:35)
442. Where was Abraham born?,442. Ur (Gen 11:31)
443. Who was given a son following her prayer to God in the temple during which the priest accused her of being drunk?,443. Hannah (1 Sam 1:13)
444. Who asked for an understanding heart to judge God's people?,444. Solomon (1 Ki 3:9)
"445. What is ""sin""?",445. The transgression of the law (1 Jn 3:4)
446. For how long did David reign?,446. Forty years (2 Sam 5:4)
448. Jesus used a little child to show the futility of an argument among the disciples. What were they arguing about?,448. Who is the greatest in heaven (Matt 18:1)
449. Whose twelve year old daughter did Jesus raise from the dead?,449. Jairus' (Luke 8:41)
450. What was the name of Ruth's great-grandson?,450. David (Ruth 4:22)
451. On what island was John when he was given the vision of Revelation?,451. Patmos (Rev 1:9)
452. What happened to King Nebuchadnezzar before being restored as king?,452. He went mad and lived as a beast (Dan 4:33) 
453. Where did Jonah try to run to instead of going to Nineveh as God had commanded?,453. Tarshish (Jon 1:3)
454. Who did Paul send to Rome requesting that she was given a welcome worthy of the saints?,454. Phoebe (Rom 16:1)
455. Whose mother took him a little coat once a year?,455. Samuel (1 Sam 2:19)
456. Which judge killed Eglon King of Moab?,456. Ehud (Jdg 3:15)
457. In a parable told by Jesus what did the rich man do with the surplus of crops that he grew?,457. Built larger barns to store them (Luke 12:18) 
458. In the parable of the leaven what is leaven more commonly known as?,458. Yeast (Matt 13:33)
459. What bird could poor people use for sacrifices if they could not afford lambs?,459. Turtledoves or Pigeons (Lev 5:7)
460. Which book of prophecy was the Ethiopian eunuch reading from?,460. Isaiah (Acts 8:30)
463. What was Peter's mother-in-law sick with?,463. A fever (Matt 8:14)
464. Who instructed her daughter to ask for the head of John the Baptist?,464. Herodias (Matt 14:8)
465. Who decreed that a census of the entire Roman world should be taken at the time of Jesus' birth?,465. Augustus Caesar (Luke 2:1)
"466. Which woman who was ""full of good works and acts of charity"" was raised from the dead by Peter at Lydda?",466. Tabitha (Dorcas) (Acts 9:40)
"468. What was on the head of the woman ""clothed with the sun""?",468. A crown of twelve stars (Rev 12:1)
469. How did Uriah Bathsheba's husband die?,469. Cut down after David instructed his men to abandon Uriah in battle (2 Sam 11:15)
470. When Paul was shipwrecked on Malta how many people on the ship drowned?,470. None (Acts 27:44)
471. How did Jesus say true worshippers should worship God when he was talking to the woman at the well?,471. In spirit and truth (John 4:24)
472. Which profession does Jesus compare himself to spiritually?,472. Shepherd (John 10:14)
473. Under the Mosaic Law what was the punishment for someone who hit their father?,473. Death (Exo 21:15)
474. What presents did Pharaoh give to Joseph when he was given charge of Egypt?,474. His ring fine linen and a gold chain (Gen 41:42) 
475. What was taken off and handed over to signify the agreement between Boaz and the kinsman?,475. Sandal (Ruth 4:8)
476. Peacocks were imported by which king of Israel?,476. Solomon (1 Ki 10:22)
477. Why did Boaz allow Ruth to glean in his field?,477. She had looked after Naomi (Ruth 2:11)
478. What punishment was Zacharias given for not believing the angel?,478. He was made dumb (Luke 1:20)
479. Which direction did the scorching wind upon Jonah come from?,479. East (Jon 4:8)
480. Why did the kinsman not want to marry Ruth? ,480. Didn't want to spoil his inheritance (Ruth 4:6) 
481. How many times did Samson lie about his source of strength to Delilah?,481. Three (Jdg 16:15)
484. Who did Mary suppose Jesus to be at first after the resurrection?,484. Gardener (John 20:15)
485. How did Jesus reveal the one who would betray him?,485. Dipped a piece of bread and passed it to him (John 13:26)
486. Who appeared with Jesus at the transfiguration?,486. Elijah and Moses (Matt 17:3)
487. Who prayed for the fiery serpents to be taken away from Israel?,487. Moses (Num 21:7)
488. Which married couple did Paul become friends with at Corinth?,488. Aquila and Priscilla (Acts 18:2) 
489. Who persuaded Delilah to betray Samson?,489. Lords of the Philistines (Jdg 16:5) 
490. When Jesus died for how long was there darkness over the land?,490. Three hours (Luke 23:44)
491. What service did Nehemiah perform for King Artaxerxes?,491. Cupbearer (Neh 1:11)
494. Who became nurse to Ruth's son? ,494. Naomi (Ruth 4:16)
495. According to the law why could the Israelites not eat blood?,"495. God said ""the blood is the life."" (Deut 12:23) "
496. What relation was Jacob to Abraham?,496. Grandson (Matt 1:2)
497. What killed the plant that God had provided Jonah for shade?,497. A worm (Jon 4:7)
498. What did the prophet Micah say about Jesus' birth?,498. He would be born in Bethlehem (Mic 5:2) 
499. What did John do with the little book he took from the angel?,499. He ate it (Rev 10:10)
501. In which tribe was the city of Bethlehem?,501. Judah (Mic 5:2)
502. What was Peter doing when he denied Jesus for the second time?,502. Warming himself by a fire (John 18:25)
503. What did Jonah do while he waited to see Nineveh's fate?,503. He sat down on the East of the city and made a shelter (Jon 4:5)
504. Who carried the cross for Christ?,504. Simon of Cyrene (Matt 27:32)
505. On which mountain range did Noah's ark come to rest?,505. Ararat (Gen 8:4)
506. Which two tribes of Israel were not named after sons of Jacob?,506. Ephraim and Manasseh (Josh 14:4)
507. What did the Queen of Sheba give to Solomon?,507. (120 talents of) gold spices and precious stones (1 Ki 10:10)
508. What should Philemon do if his slave owed him anything?,508. Charge it to Paul (Phm 1:18)
510. What should you not cook a young goat in?,510. Its mother's milk (Ex 23:19)
511. What did Joseph want to do when he discovered Mary was pregnant?,511. (Quietly) divorce her (Matt 1:19)
512. What did Boaz say Naomi was selling?,512. A parcel of land (Ruth 4:3)
513. Abram was rich in gold silver and what else?,513. Cattle (Gen 13:2)
514. How much of Elijah's spirit did Elisha receive?,514. Double (portion) (2 Ki 2:9)
515. What was unusual about the 700 Benjamite soldiers who could sling a stone and hit their target every time?,515. They were all left-handed (Jdg 20:16)
516. What relation was Annas to Caiaphas?,516. Father-in-law (John 18:13)
"517. According to James what is ""pure and undefiled religion""?",517. To visit the fatherless and widows and to keep yourself unspotted from the world (Jam 1:27)
518. When in prison at what time did Paul and Silas pray and sing to God?,518. Midnight (Acts 16:25)
519. What did Daniel and his three friends eat instead of the king's meat and drink?,519. Pulses and water (Dan 1:12)
"520. What did Jesus say is the ""greatest commandment in the law""?",520. To love God with all your heart soul and mind (Mrk 12:29)
521. Who was afflicted with leprosy for speaking out against Moses?,521. Miriam (Num 12:10)
523. What did God count Abram's faith to him as?,523. Righteousness (Gen 15:6)
524. What sin stopped Moses from leading the children of Israel into the Promised Land?,524. Hitting a rock twice (instead of speaking to it) (Num 20:11)
525. Whose hair when cut annually weighed two hundred shekels by the king's weight?,525. Absalom (2 Sam 14:26)
526. During what traumatic event did the apostle Paul take bread and give thanks?,526. Sea voyage (Acts 27:35)
527. Which man killed a lion with his bare hands?,527. Samson (Jdg 14:6)
528. What was the sign that the angels gave to the shepherds so that they would recognize Jesus?,528. Wrapped in swaddling clothes lying in a manger (Luke 2:12)
529. Who was to be named Zacharias after the name of his father until his mother intervened?,529. John (Luke 1:60)
531. How long had the invalid man lain at the pool of Bethesda?,531. Thirty-eight years (John 5:5)
"532. What ""doeth good like a medicine""?",532. A merry heart (Pro 17:22)
533. What was God to give Abraham as an everlasting possession?,533. The land of Canaan (Gen 17:8)
534. What lie was told about Naboth that led to him being stoned and Ahab taking possession of his vineyard?,534. He had blasphemed against God and the king (1 Ki 21:10)
535. Which supernatural being or beings does the Bible say the Sadducees did not believe in?,535. Angels (Acts 23:8)
536. Who won the hand of Caleb's daughter Achsah?,536. Othniel (Josh 15:17)
"537. What is the ""light of the body""?",537. The eye (Matt 6:22)
"539. You will be healed if you ""pray for one another"" and what else?",539. Confess your faults (Jam 5:16)
540. What is in the hypocrite's eye?,540. A beam (Matt 7:5)
542. What inscription was on the altar in Athens?,542. To the Unknown God (Acts 17:23)
543. In which book of prophecy do we read about the valley of dry bones?,543. Ezekiel (Eze 37:1)
544. Which baby was named after his mother's laughter?,544. Isaac (Gen 21:6)
545. Demetrius of Ephesus was a...?,545. Silversmith (Acts 19:24)
547. What was the name of the temple gate at which the lame man was laid daily?,547. Beautiful Gate (Acts 3:2)
548. To which Jewish sect did Nicodemus belong?,548. Pharisees (John 3:1)
550. To which tribe did the apostle Paul belong?,550. Benjamin (Rom 11:1)
"551. How does James say we should ""wait for the coming of the Lord""?",551. Patiently (Jam 5:7)
553. How old was Abraham when his son Isaac was born?,553. 100 (Gen 21:5)
554. In the parable of the Pharisee and the Publican what did the Pharisee thank God for?,554. That he was not sinful like other men (Luke 18:11) 
555. How many times did Jesus say you should forgive your brother when he sins against you?,555. Seventy times seven (Matt 18:22)
556. What question concerning marriage did the Pharisees use to tempt Jesus?,556. Is it lawful for a man to put away his wife? (Matt 19:3)
"557. How does Paul tell us to ""work out our own salvation""?",557. With fear and trembling (Php 2:12)
558. In the parable of the cloth and wine why does no man put new wine into old bottles?,558. It will burst the bottles (Luke 5:37)
559. In which city did King Herod live at the time of Jesus' birth?,559. Jerusalem (Matt 2:3)
"560. What is the ""root of all evil""?",560. Love of money (1 Tim 6:10)
561. What does the law say to do when you see a bird in its nest?,561. Let the mother bird go free (Deut 22:6) 
562. Which tribe of Israel received no inheritance of land?,562. Levi (Deut 10:9)
563. In Nebuchadnezzar's dream what happened to destroy the statue made from different metals?,563. A stone hit the feet and broke them into pieces (Dan 2:34)
564. Which King took possession of Naboth's vineyard?,564. Ahab (1 Ki 21:16)
565. For how many days did Jesus appear to his disciples after his resurrection?,565. Forty (Acts 1:3)
567. How many churches of Asia Minor were listed in Revelation?,567. Seven (Rev 1:11)
568. What object did Gideon place on the ground to receive a sign from God?,568. Fleece (Jdg 6:37)
570. In which city in Judah did Cyrus tell the Israelites to build the temple?,570. Jerusalem (Ezr 6:3)
572. What affliction did Paul strike Elymas the sorcerer down with?,572. Blindness (Acts 13:11)
573. Who was Boaz a kinsman of?,573. Elimelech (Ruth 2:1)
574. What animals were carved on Solomon's throne?,574. Lions (1 Ki 10:19)
575. What did Jesus and the disciples have for breakfast when Jesus appeared to them after the resurrection by the Sea of Tiberias?,575. Bread and fish (John 21:13)
576. Which woman was a seller of purple goods? ,576. Lydia (Acts 16:14)
577. What were the restrictions on marriage for the daughters of Zelophehad?,577. They must marry within their tribe (Num 36:6) 
579. How did Moses assure victory against the Amalekites?,579. Kept his hands held up (Exo 17:11)
580. What was the occupation of Hosea's wife? ,580. Harlot (Hos 1:2)
581. In the Sermon on the Mount what does Jesus say you should do when you fast?,581. Anoint your head and wash your face (Matt 6:18) 
582. Which church did Jesus accuse of being lukewarm?,582. Laodicea (Rev 3:16)
583. Why are the Thessalonians told not to worry about those Christians who have died?,583. They will be raised to life again (1 Th 4:14) 
584. In the parable of the sower what happened to the seed that fell on the path?,584. Eaten by birds (Matt 13:4)
585. What was the name of the man who requested Jesus' body for burial?,585. Joseph (of Arimathaea) (Matt 27:57)
586. How many Philistines did Samson say he had killed with the jawbone of a donkey?,586. 1000 (Jdg 15:16)
588. Who did Samuel anoint as the first King of Israel?,588. Saul (1 Sam 10:1)
589. What was mankind's first sin in the Bible?,589. Eating some fruit (Gen 3:6)
590. What was the first bird released from the ark?,590. Raven (Gen 8:7)
591. What nationality was Timothy's father?,591. Greek (Acts 16:1)
"592. In Revelation what is the ""number of a man""?",592. 666 (Rev 13:18)
593. How many elders sat around the throne of God?,593. Twenty-four (Rev 4:4)
594. What order did Joshua give to God while fighting the Amorites?,594. Make the sun and moon stand still (Josh 10:12) 
595. How many years did the Lord add to Hezekiah's life after being healed of his sickness?,595. Fifteen (2 Ki 20:6)
596. What was the second plague upon Egypt? ,596. Frogs (Exo 8:6)
598. Jesus was a high priest after the order of which ancient king mentioned in Psalm 110?,598. Melchizedek (Ps 110:4)
599. Which two provinces looked up to Thessalonica as an example?,599. Macedonia & Achaia (1 Th 1:7)
600. Who was Noah's father?,600. Lamech (Gen 5:30)
601. Who did Pilate send Jesus to after he had interrogated him?,601. Herod (Luke 23:7)
602. Daniel had a dream about four things. What sort of things?,602. Beasts (Dan 7:3)
603. In the parable of the sower what did the seed that fell among thorns represent?,603. Those people who hear God's word but then it's choked out by worldly cares (Matt 13:22)
604. Who was the father of Jonah?,604. Amittai (Jon 1:1)
605. What relation to Abram was Lot?,605. His nephew (Gen 14:12)
"606. Who will the ""least person in the Kingdom of God"" be greater than?",606. John the Baptist (Luke 7:28)
607. In what month of Elisabeth's pregnancy did the angel appear to Mary?,607. Sixth (Luke 1:26)
"609. ""Hope deferred"" maketh what sick?",609. The heart (Pro 13:12)
610. Who laid their hands on Saul of Tarsus curing him of the blindness he received on the road to Damascus?,610. Ananias (Acts 9:17)
611. Who was Paul with when he wrote the letter to Philemon?,611. Timothy (Phm 1:1)
612. What did Joseph send to his father from Egypt?,612. Ten male donkeys and ten female donkeys laden with goods from Egypt (Gen 45:23)
613. In which town did Martha and Mary live?,613. Bethany (John 11:1)
614. Who stole her father's household gods?,614. Rachel (Gen 31:32)
615. What was the fate of the man who had no wedding robe at the parable of the marriage feast?,615. Cast into darkness (Matt 22:13)
616. How long did Solomon reign over Israel?,616. Forty years (1 Ki 11:42)
617. In Psalm 52 the psalmist describes himself as what kind of tree in the house of God?,617. Olive (Ps 52:8)
618. Who was compared unfavorably to the lilies of the field?,618. King Solomon (Matt 6:29)
619. Of what did Peter and John heal the man at the temple gate called Beautiful?,619. Lameness (Acts 3:2)
620. Which region was specially noted for its balm?,620. Gilead (Jer 46:11)
"621. What should the Thessalonians do with brethren who are ""not obeying the epistle's word""?",621. Have no company with them so that they are ashamed (2 Th 3:14)
"622. Why should a father not ""provoke a child to anger""?",622. In case they become discouraged (Col 3:21)
623. What did God rain down on the Amorite army as they passed through Beth-Horon killing more of them than the Israelite army did?,623. Hailstones (Josh 10:11)
624. While John was baptizing what did he call the Pharisees and Sadducees?,624. Generation of vipers (Matt 3:7)
625. Whose son did Elijah raise from the dead?,625. The widow of Zarephath (1 Ki 17:22)
626. Which group of people stood and watched Jesus as he ascended into heaven?,626. Men of Galilee (Disciples) (Acts 1:11)
627. What object did Elisha cause to float?,627. Axe head (2 Ki 6:6)
628. By what name was the disciple Tabitha also known?,628. Dorcas (Acts 9:36)
629. From which land did Isaac tell Jacob not to take a wife?,629. Canaan (Gen 28:1)
630. How does Paul describe marriage in Hebrews? ,630. Honorable (Heb 13:4)
632. How old was Joseph when he began serving Pharaoh?,632. Thirty (Gen 41:46)
633. What did Ahab want to buy from Naboth?,633. His vineyard (1 Ki 21:2)
634. Which living creatures in the water were deemed unclean?,634. Those without fins and scales (Deut 14:9)
"635. What must a Christian do to ""earn their own bread to eat""?",635. Work quietly (2 Th 3:12)
636. What was the name of the father of Caleb the spy?,636. Jephunneh (Num 13:6)
637. Which apostle baptized the Ethiopian eunuch? ,637. Philip (Acts 8:38)
"638. Who promised the ""gift of power to tread on serpents and scorpions""?",638. Jesus (Luke 10:19)
639. Which king was saved from death by Abraham's prayer?,639. Abimelech (Gen 20:17)
640. What did Abram do when he heard that Lot was made a prisoner of war?,640. Fought to rescue him (Gen 14:14)
"641. Who sang ""My soul doth magnify the Lord""?",641. Mary (Luke 1:46)
642. At what place did the Israelites arrive only to find the water was too bitter to drink whereupon God caused it to become sweet?,642. Marah (Exo 15:23)
"643. Which Psalm describes how well the Lord knows man starting with the line ""O Lord thou hast searched me and known me""?",643. Psalm 139 (Ps 139:1)
644. When Moses blessed the tribes before his death to what animal did he compare Gad?,644. Lion (Deut 33:20)
645. When Saul defeated the Amalekites he disobeyed God and took possessions from the land. What was the name of the king he also spared?,645. Agag (1 Sam 15:9)
"646. What was Paul's ""distinguishing mark"" in the letters he wrote?",646. He wrote the greetings in his own handwriting (2 Th 3:17)
647. Which king had a feast using the gold and silver vessels taken from the temple in Jerusalem?,647. Belshazzar (Dan 5:2)
"648. ""The fear of the Lord is the beginning of knowledge but fools despise""... what?",648. Wisdom and instruction (Pro 1:7)
"649. How should a ""merry person"" behave according to James?",649. Sing psalms (Jam 5:13)
650. What sacrifice did Mary and Joseph offer when the days of purification were complete after Jesus' birth?,650. Two turtledoves or pigeons (Luke 2:24)
651. Who sat down under a tree and asked the Lord to take away his life?,651. Elijah (1 Ki 19:4)
652. What god did the Philistines offer sacrifices to?,652. Dagon (Jdg 16:23)
654. God appeared to Jacob on the way to Egypt in a vision at Beer-sheba but what did he tell him?,654. Don't fear going to Egypt he would be made into a great nation there (Gen 46:3) 
655. What did God tell the people not to eat after the flood?,655. Blood (Gen 9:4)
656. What punishment was given to Gehazi for his greed?,656. Made leprous (2 Ki 5:27)
657. How did Rahab let the invading Israelites identify her house?,657. She tied a red thread in the window (Josh 2:18) 
658. Which angel told Daniel the meaning of his vision of the ram and the goat?,658. Gabriel (Dan 8:16)
659. Which king helped Solomon with his building projects?,659. Hiram King of Tyre (1 Ki 7:13)
661. What was Timothy advised to take to help with his illnesses?,661. Wine (1 Tim 5:23)
662. What happened to the prophet from Judah who was led to disobey God when a prophet from Bethel lied to him saying he was allowed to come back and share a meal with him?,662. Killed by a lion (1 Ki 13:24)
663. Who was the goddess of the Ephesians?,663. Diana (Artemis) (Acts 19:28)
664. How many volunteer soldiers did Gideon have initially?,664. 32000 (Jdg 7:3)
"665. What will Jesus ""drink new in the Kingdom of God""?",665. The fruit of the vine (Matt 26:29)
666. What objects did Gideon and his army use to defeat the Midianites?,666. Trumpets pitchers and lamps (Jdg 7:20) 
670. How did the townspeople regard Ruth?,670. As a virtuous (worthy) woman (Ruth 3:11)
"671. In Revelation how many people from each tribe were ""sealed""?",671. 12000 (Rev 7:5)
672. Who slept under a juniper tree after fleeing for his life?,672. Elijah (1 Ki 19:5)
673. Who thought that the gift of God could be purchased with money?,673. Simon (the sorcerer) (Acts 8:18)
"674. What is described as a ""tree of life to them that lay hold upon her""?",674. Wisdom (Pro 3:18)
675. What relation was John Mark to Barnabas?,675. Cousin / Sister's son [KJV] (Col 4:10)
"676. Finish the proverb: ""The rod and reproof give wisdom but a child left to himself.""..",676. ...bringeth his mother to shame (Pro 29:15) 
677. Why wasn't David allowed to build God's house?,677. Because he was a man of war (1 Chr 28:3)
678. Which parts of his body did Peter ask Jesus to wash after being told that unless Jesus washed his feet he would have no part with him?,678. Feet hands and head (John 13:9)
679. What did the Holy Spirit look like when the disciples received it?,679. Tongues of fire (Acts 2:3)
681. Who led the people of Israel into the Promised Land?,681. Joshua (Josh 1:2)
682. With what object did Jael kill Sisera?,682. Tent peg (Jdg 4:21)
684. Which of Leah's sons brought her mandrakes?,684. Reuben (Gen 30:14)
"685. It is ""better to obtain wisdom"" than what?",685. Gold (Pro 16:16)
686. In which book of the Bible do we read of David and Goliath?,686. 1 Samuel (1 Sam 17)
687. Many of the chief rulers privately believed in Jesus. Why did they not confess this belief publicly?,687. They were afraid the Pharisees would put them out of the synagogue (John 12:42) 
688. When Jesus left Nazareth and began his ministry in Capernaum what message did he preach?,688. Repent: for the kingdom of heaven is at hand (Matt 4:17)
"689. According to James what should we do after ""confessing our faults to one another""?",689. Pray for one another (Jam 5:16) 
690. How old was Joshua when he died?,690. 110 (Josh 24:29)
691. Who was the king of Judea at the time of Jesus' birth?,691. Herod (the Great) (Matt 2:1) 
692. What seed did Manna look like?,692. Coriander (Num 11:7)
693. Which disciple brought the boy with five loaves and two fishes to Jesus?,693. Andrew (John 6:8)
"694. According to James what should we do when we ""fall into temptation""?",694. Count it all joy (Jam 1:2)
"695. Whose ""days are like grass"" according to the Psalmist?",695. Man (Ps 103:15)
696. Which animal is associated with the first four of the seven seals?,696. Horse (Rev 6:2)
"697. Which kind of bird did Jesus say were ""sold two for a farthing""?",697. Sparrows (Matt 10:29)
698. Who was the father of Abraham?,698. Terah (Gen 11:31)
699. How were the family warned that someone wanted to kill the baby Jesus?,699. In a dream (Matt 2:13)
700. How did the sailors discover Jonah was responsible for the storm?,700. Cast lots (Jon 1:7)
701. What did the chief priest and Pharisees give Judas to enable him to help arrest Jesus?,701. A band of men and of cers (John 18:3)
702. How old was Josiah when he became king of Judah?,702. Eight (2 Ki 22:1)
703. What was the name of Abigail's first husband?,703. Nabal (1 Sam 25:3)
704. Why did Jephthah flee to the land of Tob?,704. He was illegitimate and his brothers drove him out (Jdg 11:2)
"705. Where did the hypocrites ""love to pray""?",705. Standing in synagogues and on street corners (Matt 6:5)
706. Who did Paul heal at Lystra?,706. A lame man (Acts 14:8)
707. Which animal did the ten spies liken themselves to when compared to the people of the land of Canaan?,707. Grasshoppers (Num 13:33)
708. After Pilate found no guilt in Christ for what reason did the Jews say that Jesus should die?,708. He claimed to be the Son of God (John 19:7)
709. In a parable told by Jesus two men went up to the temple to pray a Pharisee and who else?,709. Publican (tax collector) (Luke 18:10)
711. How many sons did Gideon have?,711. Seventy (Jdg 8:30)
713. On which island did Paul preach on his first missionary journey?,713. Cyprus (Acts 13:4)
715. What was Samson's offer of reward if the Philistines could solve his riddle?,715. Clothing (Jdg 14:12)
"716. How many of Nineveh's inhabitants could not ""discern their left hand from their right hand""?",716. 120000 (Jon 4:11)
717. What did the mighty angel throw into the sea that represented the throwing down of Babylon?,717. A stone like a great millstone (Rev 18:21)
718. God calls us to a life of holiness but according to Thessalonians what are we told we are doing if we ignore this advice?,718. Despising God (1 Th 4:8)
719. How did Paul escape from Damascus?,719. In a basket down the city wall (Acts 9:25)
"720. According to the Book of Proverbs what is ""bound in the heart of a child""?",720. Foolishness (Pro 22:15)
722. What happened when the third vial of wrath was poured on the earth?,722. The rivers and fountains of waters became blood (Rev 16:4)
723. On what type of stone were the twelve children of Israel to have their names engraved as part of the High Priest's garments?,723. An onyx (Exo 28:9)
724. What sin did Achan commit?,724. Theft (Josh 7:1)
725. Who was the father of Saul?,725. Kish (1 Sam 14:51)
726. When did Daniel see a vision?,726. In the first year of Belshazzar king of Babylon (Dan 7:1)
"727. Wisdom is ""more precious"" than which gems?",727. Rubies (Pro 8:11)
728. What did the Israelites borrow from their Egyptian neighbors?,728. Jewels and clothing (Exo 3:22)
729. Who came into Galilee preaching the Kingdom of God?,729. Jesus (Mrk 1:14)
730. What did God create on the fifth day?,730. Underwater creatures and birds (Gen 1:21)
731. What Egyptian name did Pharaoh give to Joseph?,731. Zaphnath-paaneah (Gen 41:45)
732. What did Jesus do before driving the money-changers out of the temple?,732. Made a whip (John 2:14)
733. What reward did Jesus say the twelve apostles would get for forsaking everything and following him?,733. You will sit on twelve thrones judging the twelve tribes of Israel (Matt 19:28)
"734. Who said ""Worthy is the lamb who was slain""? ",734. Thousands upon thousands of angels (Rev 5:11)
735. How is Rebekah related to Abraham?,735. Abraham's niece (Gen 24:1)
"736. In which gospel does Jesus state that he is the ""Bread of Life?""",736. John (John 6:48)
737. How many fish were caught in the miracle of the draught of fishes?,737. 153 (John 21:11)
739. After seeing the destruction of Jericho and Ai the inhabitants of which city pretended to be travellers from a far off land to make a covenant of peace with the Israelites?,739. Gibeon (Josh 9:3)
740. In the parable of the Good Samaritan who was the first man to pass by the wounded man?,740. Priest (Luke 10:31)
741.Who did Paul send to the Thessalonians to exhort them in faith?,741. Timothy(1 Th 3:2)
742. What did James and John want to do to the unwelcoming Samaritan village?,742. Call down fire from heaven (Luke 9:54)
"743. Jesus said not to ""swear by your head"" because you cannot do what?",743. Make one hair black or white (Matt 5:36)
